date,confirmed,dead
2020-01-20,1,-
2020-01-21,0,-
2020-01-22,0,-
2020-01-23,0,-
2020-01-24,1,-
2020-01-25,0,-
2020-01-26,1,-
2020-01-27,1,-
2020-01-28,0,-
2020-01-29,0,-
2020-01-30,3,-
2020-01-31,4,-
2020-02-01,1,-
2020-02-02,3,-
2020-02-03,0,-
2020-02-04,1,-
2020-02-05,5,-
2020-02-06,3,-
2020-02-07,0,-
2020-02-08,0,-
2020-02-09,3,-
2020-02-10,1,-
2020-02-11,0,-
2020-02-12,0,-
2020-02-13,0,-
2020-02-14,0,-
2020-02-15,0,-
2020-02-16,2,-
2020-02-17,0,-
2020-02-18,2,-
2020-02-19,34,-
2020-02-20,16,1
2020-02-21,74,-
2020-02-22,190,2
2020-02-23,210,-
2020-02-24,207,4
2020-02-25,130,1
2020-02-26,253,3
2020-02-27,449,1
2020-02-28,427,1
2020-02-29,909,3
2020-03-01,595,1
2020-03-02,686,6
2020-03-03,600,5
2020-03-04,516,4
2020-03-05,438,3
2020-03-06,518,7
2020-03-07,483,2
2020-03-08,367,6
2020-03-09,248,1
2020-03-10,131,3
2020-03-11,242,6
2020-03-12,114,6
2020-03-13,110,1
2020-03-14,107,5
2020-03-15,76,3
2020-03-16,74,-
2020-03-17,84,6
2020-03-18,93,3
2020-03-19,152,7
2020-03-20,87,3
2020-03-21,147,8
2020-03-22,98,2
2020-03-23,64,7
2020-03-24,76,9
2020-03-25,100,6
2020-03-26,104,5
2020-03-27,91,8
2020-03-28,146,5
2020-03-29,105,8
2020-03-30,78,6
2020-03-31,125,4
2020-04-01,101,3
2020-04-02,89,4
2020-04-03,86,5
2020-04-04,94,3
2020-04-05,81,6
2020-04-06,47,3
2020-04-07,47,6
2020-04-08,53,8
2020-04-09,39,4
2020-04-10,27,4
2020-04-11,30,3
2020-04-12,32,3
2020-04-13,25,3
2020-04-14,27,5
2020-04-15,27,3
2020-04-16,22,4
2020-04-17,22,1
2020-04-18,18,2
2020-04-19,8,2
2020-04-20,13,2
2020-04-21,9,1
2020-04-22,11,1
2020-04-23,8,2
2020-04-24,6,-
2020-04-25,10,-
2020-04-26,10,2
2020-04-27,10,1
2020-04-28,14,1
2020-04-29,9,2
2020-04-30,4,1
2020-05-01,9,1
2020-05-02,6,2
2020-05-03,13,-
2020-05-04,8,2
2020-05-05,3,2
2020-05-06,2,1
2020-05-07,4,1
2020-05-08,12,-
2020-05-09,18,-
2020-05-10,34,-
2020-05-11,35,-
2020-05-12,27,2
2020-05-13,26,1
2020-05-14,29,1
2020-05-15,27,-
2020-05-16,19,2
2020-05-17,13,-
2020-05-18,15,1
2020-05-19,13,-
2020-05-20,32,-
2020-05-21,12,1
2020-05-22,20,-
2020-05-23,23,2
