DATE,FOOD,PRODUCT
2020-01-01,49,2254
2020-01-02,58,2668
2020-01-03,53,2438
2020-01-04,50,2300
2020-01-05,56,2576
2020-01-06,64,2944
2020-01-07,66,3036
2020-01-08,63,2898
2020-01-09,59,2714
2020-01-10,53,2438
2020-01-11,49,2254
2020-01-12,56,2576
2020-01-13,67,3082
2020-01-14,69,3174
2020-01-15,68,3128
2020-01-16,64,2944
2020-01-17,58,2668
2020-01-18,52,2392
2020-01-19,60,2760
2020-01-20,66,3036
2020-01-21,55,2530
2020-01-22,47,2162
2020-01-23,39,1794
2020-01-24,33,1518
2020-01-25,33,1518
2020-01-26,38,1748
2020-01-27,49,2254
2020-01-28,56,2576
2020-01-29,56,2576
2020-01-30,54,2484
2020-01-31,47,2162
2020-02-01,48,2208
2020-02-02,57,2622
2020-02-03,59,2714
2020-02-04,66,3036
2020-02-05,63,2898
2020-02-06,60,2760
2020-02-07,54,2484
2020-02-08,50,2300
2020-02-09,58,2668
2020-02-10,66,3036
2020-02-11,65,2990
2020-02-12,65,2990
2020-02-13,59,2714
2020-02-14,51,2346
2020-02-15,45,2070
2020-02-16,53,2438
2020-02-17,61,2806
2020-02-18,59,2714
2020-02-19,56,2576
2020-02-20,56,2576
2020-02-21,51,2346
2020-02-22,53,2438
2020-02-23,65,2990
2020-02-24,75,3450
2020-02-25,77,3542
2020-02-26,72,3312
2020-02-27,68,3128
2020-02-28,61,2806
2020-02-29,59,2714
2020-03-01,72,3312
2020-03-02,75,3450
2020-03-03,76,3496
2020-03-04,76,3496
2020-03-05,72,3312
2020-03-06,63,2898
2020-03-07,63,2898
2020-03-08,68,3128
2020-03-09,76,3496
2020-03-10,79,3634
2020-03-11,75,3450
2020-03-12,71,3266
2020-03-13,62,2852
2020-03-14,59,2714
2020-03-15,70,3220
2020-03-16,75,3450
2020-03-17,75,3450
2020-03-18,72,3312
2020-03-19,70,3220
2020-03-20,60,2760
2020-03-21,56,2576
2020-03-22,64,2944
2020-03-23,74,3404
2020-03-24,70,3220
2020-03-25,66,3036
2020-03-26,66,3036
2020-03-27,58,2668
2020-03-28,54,2484
2020-03-29,61,2806
2020-03-30,69,3174
2020-03-31,67,3082
2020-04-01,72,3312
2020-04-02,68,3128
2020-04-03,60,2760
2020-04-04,57,2622
2020-04-05,66,3036
2020-04-06,75,3450
2020-04-07,72,3312
2020-04-08,71,3266
2020-04-09,68,3128
2020-04-10,59,2714
2020-04-11,55,2530
2020-04-12,66,3036
2020-04-13,71,3266
2020-04-14,64,2944
2020-04-15,60,2760
2020-04-16,64,2944
2020-04-17,62,2852
2020-04-18,55,2530
2020-04-19,69,3174
2020-04-20,74,3404
2020-04-21,72,3312
2020-04-22,73,3358
2020-04-23,69,3174
2020-04-24,60,2760
2020-04-25,56,2576
2020-04-26,64,2944
2020-04-27,73,3358
2020-04-28,66,3036
2020-04-29,55,2530
2020-04-30,51,2346
2020-05-01,53,2438
2020-05-02,51,2346
2020-05-03,58,2668
2020-05-04,59,2714
2020-05-05,62,2852
2020-05-06,66,3036
2020-05-07,61,2806
2020-05-08,52,2392
2020-05-09,50,2300
2020-05-10,56,2576
2020-05-11,64,2944
2020-05-12,65,2990
2020-05-13,62,2852
2020-05-14,59,2714
2020-05-15,55,2530
2020-05-16,47,2162
2020-05-17,53,2438
2020-05-18,65,2990
2020-05-19,64,2944
2020-05-20,59,2714
2020-05-21,58,2668
2020-05-22,51,2346
2020-05-23,46,2116
2020-05-24,54,2484
2020-05-25,64,2944
2020-05-26,64,2944
2020-05-27,61,2806
2020-05-28,57,2622
2020-05-29,50,2300
2020-05-30,46,2116
2020-05-31,55,2530
2020-06-01,66,3036
2020-06-02,66,3036
2020-06-03,64,2944
2020-06-04,61,2806
2020-06-05,51,2346
2020-06-06,46,2116
2020-06-07,54,2484
2020-06-08,63,2898
2020-06-09,64,2944
2020-06-10,62,2852
2020-06-11,59,2714
2020-06-12,52,2392
2020-06-13,47,2162
2020-06-14,55,2530
2020-06-15,63,2898
2020-06-16,62,2852
2020-06-17,60,2760
2020-06-18,59,2714
2020-06-19,51,2346
2020-06-20,45,2070
2020-06-21,53,2438
2020-06-22,64,2944
2020-06-23,62,2852
2020-06-24,63,2898
2020-06-25,61,2806
2020-06-26,52,2392
2020-06-27,46,2116
2020-06-28,54,2484
2020-06-29,66,3036
2020-06-30,63,2898
2020-07-01,64,2944
2020-07-02,61,2806
2020-07-03,53,2438
2020-07-04,46,2116
2020-07-05,54,2484
2020-07-06,65,2990
