네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
식품
조회기간 : 2020.01.01. ~ 2021.01.01. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","식품"
"2020-01-01",49
"2020-01-02",58
"2020-01-03",53
"2020-01-04",50
"2020-01-05",56
"2020-01-06",64
"2020-01-07",66
"2020-01-08",63
"2020-01-09",59
"2020-01-10",53
"2020-01-11",49
"2020-01-12",56
"2020-01-13",67
"2020-01-14",69
"2020-01-15",68
"2020-01-16",64
"2020-01-17",58
"2020-01-18",52
"2020-01-19",60
"2020-01-20",66
"2020-01-21",55
"2020-01-22",47
"2020-01-23",39
"2020-01-24",33
"2020-01-25",33
"2020-01-26",38
"2020-01-27",49
"2020-01-28",56
"2020-01-29",56
"2020-01-30",54
"2020-01-31",47
"2020-02-01",48
"2020-02-02",57
"2020-02-03",59
"2020-02-04",66
"2020-02-05",63
"2020-02-06",60
"2020-02-07",54
"2020-02-08",50
"2020-02-09",58
"2020-02-10",66
"2020-02-11",65
"2020-02-12",65
"2020-02-13",59
"2020-02-14",51
"2020-02-15",45
"2020-02-16",53
"2020-02-17",61
"2020-02-18",59
"2020-02-19",56
"2020-02-20",56
"2020-02-21",51
"2020-02-22",53
"2020-02-23",65
"2020-02-24",75
"2020-02-25",77
"2020-02-26",72
"2020-02-27",68
"2020-02-28",61
"2020-02-29",59
"2020-03-01",72
"2020-03-02",75
"2020-03-03",76
"2020-03-04",76
"2020-03-05",72
"2020-03-06",63
"2020-03-07",63
"2020-03-08",68
"2020-03-09",76
"2020-03-10",79
"2020-03-11",75
"2020-03-12",71
"2020-03-13",62
"2020-03-14",59
"2020-03-15",70
"2020-03-16",75
"2020-03-17",75
"2020-03-18",72
"2020-03-19",70
"2020-03-20",60
"2020-03-21",56
"2020-03-22",64
"2020-03-23",74
"2020-03-24",70
"2020-03-25",66
"2020-03-26",66
"2020-03-27",58
"2020-03-28",54
"2020-03-29",61
"2020-03-30",69
"2020-03-31",67
"2020-04-01",72
"2020-04-02",68
"2020-04-03",60
"2020-04-04",57
"2020-04-05",66
"2020-04-06",75
"2020-04-07",72
