네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
조회기간 : 2020.01.01. ~ 2021.01.01. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","패션의류"
"2020-01-01",59
"2020-01-02",58
"2020-01-03",53
"2020-01-04",59
"2020-01-05",67
"2020-01-06",60
"2020-01-07",59
"2020-01-08",57
"2020-01-09",55
"2020-01-10",49
"2020-01-11",53
"2020-01-12",64
"2020-01-13",59
"2020-01-14",57
"2020-01-15",55
"2020-01-16",53
"2020-01-17",49
"2020-01-18",53
"2020-01-19",61
"2020-01-20",53
"2020-01-21",48
"2020-01-22",44
"2020-01-23",39
"2020-01-24",40
"2020-01-25",40
"2020-01-26",49
"2020-01-27",61
"2020-01-28",55
"2020-01-29",56
"2020-01-30",54
"2020-01-31",47
"2020-02-01",55
"2020-02-02",61
"2020-02-03",54
"2020-02-04",55
"2020-02-05",54
"2020-02-06",51
"2020-02-07",48
"2020-02-08",55
"2020-02-09",64
"2020-02-10",58
"2020-02-11",59
"2020-02-12",60
"2020-02-13",58
"2020-02-14",55
"2020-02-15",60
"2020-02-16",68
"2020-02-17",61
"2020-02-18",58
"2020-02-19",55
"2020-02-20",52
"2020-02-21",46
"2020-02-22",51
"2020-02-23",55
"2020-02-24",47
"2020-02-25",51
"2020-02-26",51
"2020-02-27",51
"2020-02-28",49
"2020-02-29",55
"2020-03-01",65
"2020-03-02",54
"2020-03-03",56
"2020-03-04",57
"2020-03-05",54
"2020-03-06",51
"2020-03-07",59
"2020-03-08",67
"2020-03-09",61
"2020-03-10",62
"2020-03-11",60
"2020-03-12",57
"2020-03-13",53
"2020-03-14",58
"2020-03-15",68
"2020-03-16",59
"2020-03-17",57
"2020-03-18",59
"2020-03-19",56
"2020-03-20",53
"2020-03-21",60
"2020-03-22",69
"2020-03-23",63
"2020-03-24",62
"2020-03-25",61
"2020-03-26",60
"2020-03-27",54
"2020-03-28",59
"2020-03-29",65
"2020-03-30",60
"2020-03-31",60
"2020-04-01",65
"2020-04-02",63
"2020-04-03",56
"2020-04-04",62
"2020-04-05",70
"2020-04-06",65
"2020-04-07",65
"2020-04-08",64
"2020-04-09",61
"2020-04-10",55
"2020-04-11",62
"2020-04-12",72
"2020-04-13",63
"2020-04-14",59
"2020-04-15",68
"2020-04-16",60
"2020-04-17",56
"2020-04-18",61
"2020-04-19",75
"2020-04-20",63
"2020-04-21",62
"2020-04-22",61
"2020-04-23",56
"2020-04-24",51
"2020-04-25",58
"2020-04-26",70
"2020-04-27",62
"2020-04-28",59
"2020-04-29",53
"2020-04-30",59
"2020-05-01",62
"2020-05-02",65
"2020-05-03",75
"2020-05-04",68
"2020-05-05",79
"2020-05-06",72
"2020-05-07",66
"2020-05-08",59
"2020-05-09",64
"2020-05-10",69
"2020-05-11",66
"2020-05-12",65
"2020-05-13",64
"2020-05-14",60
"2020-05-15",55
"2020-05-16",60
"2020-05-17",72
"2020-05-18",70
"2020-05-19",64
"2020-05-20",61
"2020-05-21",59
"2020-05-22",53
"2020-05-23",58
"2020-05-24",69
"2020-05-25",63
"2020-05-26",63
"2020-05-27",62
"2020-05-28",58
"2020-05-29",54
"2020-05-30",59
"2020-05-31",70
"2020-06-01",66
"2020-06-02",65
"2020-06-03",65
"2020-06-04",64
"2020-06-05",58
"2020-06-06",64
"2020-06-07",73
"2020-06-08",69
"2020-06-09",70
"2020-06-10",71
"2020-06-11",66
"2020-06-12",60
"2020-06-13",66
"2020-06-14",75
"2020-06-15",67
"2020-06-16",66
"2020-06-17",63
"2020-06-18",60
"2020-06-19",53
"2020-06-20",57
"2020-06-21",67
"2020-06-22",62
"2020-06-23",60
"2020-06-24",60
"2020-06-25",54
"2020-06-26",49
"2020-06-27",53
"2020-06-28",62
"2020-06-29",57
"2020-06-30",54
"2020-07-01",56
"2020-07-02",54
"2020-07-03",49
"2020-07-04",52
"2020-07-05",59
"2020-07-06",56
"2020-07-07",56
"2020-07-08",56
"2020-07-09",52
"2020-07-10",45
"2020-07-11",51
"2020-07-12",60
"2020-07-13",55
"2020-07-14",54
"2020-07-15",52
"2020-07-16",48
"2020-07-17",45
"2020-07-18",49
"2020-07-19",56
"2020-07-20",52
"2020-07-21",51
"2020-07-22",52
"2020-07-23",50
"2020-07-24",43
"2020-07-25",49
"2020-07-26",56
"2020-07-27",51
"2020-07-28",51
"2020-07-29",51
"2020-07-30",47
"2020-07-31",42
"2020-08-01",49
"2020-08-02",55
"2020-08-03",49
"2020-08-04",50
"2020-08-05",52
"2020-08-06",50
"2020-08-07",45
"2020-08-08",49
"2020-08-09",55
"2020-08-10",49
"2020-08-11",49
"2020-08-12",47
"2020-08-13",43
"2020-08-14",39
"2020-08-15",43
"2020-08-16",46
"2020-08-17",50
"2020-08-18",46
"2020-08-19",45
"2020-08-20",44
"2020-08-21",41
"2020-08-22",44
"2020-08-23",48
"2020-08-24",43
"2020-08-25",44
"2020-08-26",45
"2020-08-27",44
"2020-08-28",40
"2020-08-29",45
"2020-08-30",50
"2020-08-31",44
"2020-09-01",46
"2020-09-02",48
"2020-09-03",45
"2020-09-04",44
"2020-09-05",52
"2020-09-06",63
"2020-09-07",62
"2020-09-08",58
"2020-09-09",47
"2020-09-10",70
"2020-09-11",53
"2020-09-12",61
"2020-09-13",69
"2020-09-14",61
"2020-09-15",58
"2020-09-16",59
"2020-09-17",58
"2020-09-18",53
"2020-09-19",58
"2020-09-20",69
"2020-09-21",65
"2020-09-22",65
"2020-09-23",66
"2020-09-24",59
"2020-09-25",53
"2020-09-26",59
"2020-09-27",68
"2020-09-28",54
"2020-09-29",46
"2020-09-30",49
