date,online,mobile
2020-01-01,123048,82236
2020-02-01,119633,81124
2020-03-01,126247,84861
2020-04-01,120655,80418
2020-05-01,127426,86864
2020-06-01,126870,86916
2020-07-01,129787,87896
2020-08-01,140771,93785
2020-09-01,143701,95319
2020-10-01,142445,95355
2020-11-01,150314,101910
2020-12-01,158912,110737
2021-01-01,150693,106015
2021-02-01,139158,99240
2021-03-01,159546,110917
2021-04-01,151365,108125
2021-05-01,161059,114651
2021-06-01,156947,109745
2021-07-01,161836,117083
2021-08-01,158399,115048
2021-09-01,162048,117059
2021-10-01,169023,122254
